Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Package,Type,Comments
1,D1,1,Texas Instruments,TPD1E10B06DPYR,IC ESD Protection 2-X1SON ,2-X1SON,SMD,
2,"C12,C13",2,Johanson Technology Inc.,251R14S220JV4T,Cap 22pF High Frequency 0603,0603,SMD,
3,"J12,J13,J10,J16,J11,J14,J15,J9",8,Adam Tech,PH1-04-UA,Conn Header 4Pos 2.54mm Vert Gold,PinHeader_1x04_P2.54mm_Vertical,Thru-hole,
4,"J3,J1,J8,J6,J5,J7,J2,J4",8,JST Sales America Inc.,S4B-PH-SM4-TB(LF)(SN),Conn JST PH 4Pos Horizontal,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,SMD,
5,"C9,C10,C6,C11,C7,C5,C8",7,,0.1uF 0603,Cap 0.1uF 0603,0603,SMD,
6,"C4,C3,C2,C1",4,,10uF X7R 0603,Cap 10uF X7R 0603,0603,SMD,
7,"D2,D3",2,Texas Instruments,ESD321DPYR,IC ESD Protection 2-X1SON ,2-X1SON,SMD,
8,D4,1,Bourns Inc.,CD0603-B0340R,Diode Schottky 0603,0603,SMD,
9,"R6,R8,R7",3,,4.7k 0603,Res 4.7k Ohm 0603,0603,SMD,
10,"U3,U5,U6,U4",4,Texas Instruments,ESD224DQAR,TVS DIODE 3.6VWM 14VC USON-10,USON-10,SMD,
11,R2,1,,3.65k 1% 0603,Res 3.65k 1% 0603,0603,SMD,
12,R5,1,,4.42k 1% 0603,Res 4.42k 1% 0603,0603,SMD,
13,J17,1,CUI Inc.,UJ2-BH-1-TH,Conn USB Type-B Thru-Hole,CUI_UJ2-BH-1-TH,Thru-hole,
14,F1,1,Bourns Inc.,MF-FSML050/8-2,Fuse 500 mA Hold 1A Trip 0603,0603,SMD,
15,R1,1,,10k 1% 0603,Res 10k 1% 0603,0603,SMD,
16,R4,1,,390 1% 0603,Res 390 1% 0603,0603,SMD,
17,U2,1,Texas Instruments,TLV75801PDBVT,IC Voltage Regulator SOT-23-5,SOT-23-5,SMD,
18,Y1,1,CTS-Frequency Controls,ATS080BSM-1E,Crystal 8 MHz SMD HC49,SMD_HC49-SD,SMD,
19,U7,1,WCH,CH348L,IC 8-channel USB-to-UART LQFP-100,LQFP-100_14x14mm_P0.5mm,SMD,
20,U1,1,Texas Instruments,TLV74033PDBVR,IC Voltage Regulator SOT-23-5,SOT-23-5,SMD,
21,R3,1,,7.5k 1% 0603,Res 7.5k 1% 0603,0603,SMD,
22,J18,1,Adam Tech,PH2-06-UA,Conn Header 2x3Pos 2.54mm Vert Gold,PinHeader_2x03_P2.54mm_Vertical,Thru-hole,
